model,horizon,origin_date,target_date,actual,forecast
cnn,1,2025-08-01,2025-09-01,108.0,108.15497589111328
cnn,1,2025-09-01,2025-10-01,107.7,107.59648132324219
cnn,1,2025-10-01,2025-11-01,106.6,107.03882598876953
cnn,1,2025-11-01,2025-12-01,105.6,105.18460845947266
cnn,1,2025-12-01,2026-01-01,106.0,105.086669921875
cnn,1,2026-01-01,2026-02-01,105.9,105.85935974121094
cnn,1,2026-02-01,2026-03-01,105.9,106.55047607421875
rnn,1,2024-03-01,2024-04-01,107.8,107.4261245727539
rnn,1,2024-04-01,2024-05-01,108.3,108.05465698242188
rnn,1,2024-05-01,2024-06-01,108.6,108.4383544921875
rnn,1,2024-06-01,2024-07-01,109.1,108.66481018066406
rnn,1,2024-07-01,2024-08-01,109.1,110.05349731445312
rnn,1,2024-08-01,2024-09-01,108.6,109.31295776367188
rnn,1,2024-09-01,2024-10-01,108.5,107.65691375732422
rnn,1,2024-10-01,2024-11-01,108.9,108.71928405761719
rnn,1,2024-11-01,2024-12-01,109.5,108.68017578125
rnn,1,2024-12-01,2025-01-01,109.9,109.72478485107422
rnn,1,2025-01-01,2025-02-01,110.1,110.89777374267578
rnn,1,2025-02-01,2025-03-01,110.3,110.24592590332031
rnn,1,2025-03-01,2025-04-01,110.2,110.56761169433594
rnn,1,2025-04-01,2025-05-01,109.9,110.04138946533203
rnn,1,2025-05-01,2025-06-01,109.4,109.88729095458984
rnn,1,2025-06-01,2025-07-01,108.8,109.252197265625
rnn,1,2025-07-01,2025-08-01,108.1,107.9662094116211
rnn,1,2025-08-01,2025-09-01,108.0,108.0782699584961
rnn,1,2025-09-01,2025-10-01,107.7,107.65131378173828
rnn,1,2025-10-01,2025-11-01,106.6,107.48524475097656
rnn,1,2025-11-01,2025-12-01,105.6,105.95267486572266
rnn,1,2025-12-01,2026-01-01,106.0,104.94764709472656
rnn,1,2026-01-01,2026-02-01,105.9,106.67816925048828
rnn,1,2026-02-01,2026-03-01,105.9,106.08373260498047
lstm,1,2024-03-01,2024-04-01,107.8,107.18953704833984
lstm,1,2024-04-01,2024-05-01,108.3,107.91527557373047
lstm,1,2024-05-01,2024-06-01,108.6,108.69091033935547
lstm,1,2024-06-01,2024-07-01,109.1,108.95835876464844
lstm,1,2024-07-01,2024-08-01,109.1,110.25054168701172
lstm,1,2024-08-01,2024-09-01,108.6,108.81619262695312
lstm,1,2024-09-01,2024-10-01,108.5,108.30744171142578
lstm,1,2024-10-01,2024-11-01,108.9,108.80992126464844
lstm,1,2024-11-01,2024-12-01,109.5,108.6755599975586
lstm,1,2024-12-01,2025-01-01,109.9,110.3963851928711
lstm,1,2025-01-01,2025-02-01,110.1,110.65454864501953
lstm,1,2025-02-01,2025-03-01,110.3,110.3703842163086
lstm,1,2025-03-01,2025-04-01,110.2,110.36233520507812
lstm,1,2025-04-01,2025-05-01,109.9,110.02986145019531
lstm,1,2025-05-01,2025-06-01,109.4,110.08031463623047
lstm,1,2025-06-01,2025-07-01,108.8,109.06158447265625
lstm,1,2025-07-01,2025-08-01,108.1,108.31051635742188
lstm,1,2025-08-01,2025-09-01,108.0,108.23828125
lstm,1,2025-09-01,2025-10-01,107.7,108.13206481933594
lstm,1,2025-10-01,2025-11-01,106.6,107.08819580078125
lstm,1,2025-11-01,2025-12-01,105.6,105.74427795410156
lstm,1,2025-12-01,2026-01-01,106.0,105.03746795654297
lstm,1,2026-01-01,2026-02-01,105.9,106.22624206542969
lstm,1,2026-02-01,2026-03-01,105.9,106.28433990478516
